Type_ID,Amount,City,State_Province_Code,Zip_Postal_Code,Country,Disposition
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,3500,Los Angeles,LA,12345,United States,Approved
55,3500,Los Angeles,LA,12345,United States,Approved
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
111,3500,Los Angeles,LA,12345,United States,Approved
111,1200,Los Angeles,LA,12345,United States,Approved
111,1500,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,2750,Los Angeles,LA,12345,United States,Approved
111,900,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,120000,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,1700,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,10000,Los Angeles,LA,12345,United States,Approved
111,8000,Los Angeles,LA,12345,United States,Approved
111,99999999,Los Angeles,LA,12345,United States,Approved
111,1000,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,1,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
55,5700,Los Angeles,LA,12345,United States,Pending
111,500,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,1,Los Angeles,LA,12345,United States,Approved
111,5200,Los Angeles,LA,12345,United States,Approved
111,30000,Los Angeles,LA,12345,United States,Approved
111,9001,Los Angeles,LA,12345,United States,Approved
111,16,Los Angeles,LA,12345,United States,Approved
111,100,Los Angeles,LA,12345,United States,Approved
111,23,Los Angeles,LA,12345,United States,Approved
111,123,Los Angeles,LA,12345,United States,Approved
111,840,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,50,Los Angeles,LA,12345,United States,Approved
111,66,Los Angeles,LA,12345,United States,Approved
111,5000,Los Angeles,LA,12345,United States,Approved
55,500,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,53373.55,Los Angeles,LA,12345,United States,Approved
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,0,Los Angeles,LA,12345,United States,Pending
111,0,Los Angeles,LA,12345,United States,Pending
111,0,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
55,1000,Los Angeles,LA,12345,United States,Pending
111,5700,Los Angeles,LA,12345,United States,Pending
111,55000,Los Angeles,LA,12345,United States,Declined
111,500,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,18000,Los Angeles,LA,12345,United States,Declined
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,1000,Los Angeles,LA,12345,United States,Approved
55,25000,Los Angeles,LA,12345,United States,Approved
